iter	Logloss
0	0.6756943217
1	0.65799722
2	0.640947251
3	0.6244691834
4	0.6082662385
5	0.5930894591
6	0.5782238513
7	0.564293885
8	0.5508752348
9	0.537522225
10	0.5250982595
11	0.5129183109
12	0.5018363457
13	0.4905368294
14	0.4799777541
15	0.4690115091
16	0.4582420775
17	0.4490050422
18	0.4397759099
19	0.4315765695
20	0.4228277289
21	0.413671885
22	0.4061720706
23	0.3983526425
24	0.3911328754
25	0.3843699801
26	0.3774218328
27	0.3712788355
28	0.365004092
29	0.3590793595
30	0.3531816463
31	0.347366542
32	0.3418372543
33	0.3368329754
34	0.3315333652
35	0.3268546903
36	0.3222492921
37	0.317490492
38	0.3130151884
39	0.3089027039
40	0.3047924442
41	0.3005341697
42	0.2967901803
43	0.2932397502
44	0.2899255105
45	0.286762582
46	0.2832587429
47	0.2801873418
48	0.2769674099
49	0.2737327916
50	0.2708734975
51	0.2679105474
52	0.2651669415
53	0.2624419336
54	0.2598702181
55	0.2572710107
56	0.2549417807
57	0.2526442821
58	0.2504987023
59	0.2482629317
60	0.2461457936
61	0.2441587222
62	0.2423201992
63	0.2405638107
64	0.238639581
65	0.2369203521
66	0.2351585879
67	0.2331770723
68	0.2315059795
69	0.2298954976
70	0.2284497214
71	0.226948772
72	0.2254239813
73	0.2240548937
74	0.2228092311
75	0.2215475443
76	0.2202999998
77	0.2190293792
78	0.2177408349
79	0.2165071604
80	0.2153218982
81	0.214176633
82	0.2130446088
83	0.2120318329
84	0.2109393283
85	0.209917588
86	0.2088992886
87	0.2079196303
88	0.207010095
89	0.206036593
90	0.2050811486
91	0.2041765276
92	0.2033071615
93	0.2022818787
94	0.201539382
95	0.2008256626
96	0.2001414892
97	0.1992394717
98	0.1984532004
99	0.1976600614
100	0.1968916346
101	0.1963390764
102	0.1957274299
103	0.1950849741
104	0.1943671939
105	0.1937021875
106	0.1930887311
107	0.1925417637
108	0.1919899402
109	0.1913832654
110	0.1907952985
111	0.1902247783
112	0.189650513
113	0.1891101325
114	0.1886303702
115	0.1880816047
116	0.1876277611
117	0.1871173141
118	0.1865381244
119	0.1859970713
120	0.1854242823
121	0.184994804
122	0.1846700218
123	0.1842952963
124	0.1838521501
125	0.1833854952
126	0.1830033247
127	0.1825957564
128	0.1822883422
129	0.1819236278
130	0.1814878836
131	0.181122945
132	0.1807232921
133	0.1804367527
134	0.1800506774
135	0.1796089001
136	0.1793679182
137	0.1790847669
138	0.1787427191
139	0.178473495
140	0.1780960852
141	0.1778687641
142	0.1775516362
143	0.1772530399
144	0.1770284353
145	0.1767459275
146	0.1765102856
147	0.1762137899
148	0.1759241145
149	0.1757038333
150	0.1753872492
151	0.1750272354
152	0.1747161032
153	0.1744665576
154	0.1741758435
155	0.1739704441
156	0.1736654777
157	0.1733691869
158	0.173154266
159	0.1729315963
160	0.1726930292
161	0.1724780339
162	0.1722674601
163	0.1720632766
164	0.1717728562
165	0.1715804136
166	0.1714273544
167	0.171142888
168	0.170930842
169	0.1706859602
170	0.170515999
171	0.1702636342
172	0.1700558669
173	0.1698489554
174	0.1696429208
175	0.1694929955
176	0.1693758905
177	0.1692315043
178	0.1690814791
179	0.168856991
180	0.1687214037
181	0.1685084149
182	0.168386835
183	0.1682452545
184	0.1680301404
185	0.1678396711
186	0.1676557858
187	0.1674558656
188	0.1672846856
189	0.1671702126
190	0.1670309478
191	0.1669126976
192	0.1667679875
193	0.1665655673
194	0.1664031585
195	0.1662502921
196	0.1660875796
197	0.165891131
198	0.1657763788
199	0.1656318986
200	0.1654492715
201	0.1652709496
202	0.1651034164
203	0.1649500538
204	0.164856093
205	0.1646913221
206	0.1645981155
207	0.1644811488
208	0.1643185037
209	0.1642389594
210	0.1641578748
211	0.163995444
212	0.1638504927
213	0.163761273
214	0.1636375686
215	0.1635039964
216	0.1634131794
217	0.1632708385
218	0.1631616763
219	0.1630407901
220	0.1629116635
221	0.1628294587
222	0.1626858486
223	0.1625490448
224	0.1624591364
225	0.1623387051
226	0.1622153461
227	0.1620791649
228	0.1619515807
229	0.1618768517
230	0.1617691953
231	0.1616560884
232	0.1615704374
233	0.1614483347
234	0.1613707983
235	0.1612792362
236	0.16115665
237	0.1610767629
238	0.1609561481
239	0.1608701398
240	0.1608019766
241	0.1607129056
242	0.1606187745
243	0.1605185122
244	0.1603985944
245	0.1602879049
246	0.16022619
247	0.1601395868
248	0.1600740456
249	0.1600082243
250	0.1599323408
251	0.1598609584
252	0.1598021869
253	0.1597379867
254	0.1596306748
255	0.1595171923
256	0.1594304664
257	0.1593347843
258	0.1592679261
259	0.1591848914
260	0.1591171923
261	0.159053543
262	0.1589648525
263	0.1588964712
264	0.1588454343
265	0.1587710251
266	0.1587147393
267	0.1586271442
268	0.1585760021
269	0.15852723
270	0.1584695256
271	0.1583973711
272	0.1583395382
273	0.1582540761
274	0.1582029174
275	0.1581476652
276	0.1580897316
277	0.1579934855
278	0.1579365765
279	0.1578451711
